sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,targetConceptId,targetConceptName,targetVocabularyId,targetDomainId,targetStandardConcept,targetChildCount,targetParentCount,targetConceptClassId,targetConceptCode,targetValidStartDate,targetValidEndDate,targetInvalidReason
18909377,COTE D'IVOIRE,-1,,1.0,APPROVED,4073746,Ivory Coast,SNOMED,Observation,S,0,1,Location,223561000,19700101,20991231,
18909324,ARMENIA,-1,,1.0,APPROVED,4330428,Armenia,SNOMED,Observation,S,0,1,Location,223645009,19700101,20991231,
140883696,ST BARTHELEMY,-1,,0.7060668468475342,APPROVED,4073038,St. Barthelemy,SNOMED,Observation,S,0,1,Location,223400004,19700101,20991231,
18917169,ST HELENA & ASCENTION,-1,,0.27567780017852783,UNCHECKED,4021520,Accident and Emergency department,SNOMED,Observation,S,2,1,Location,225728007,19700101,20991231,
18909325,BAHRAIN,-1,,1.0,APPROVED,4329587,Bahrain,SNOMED,Observation,S,0,1,Location,223606004,19700101,20991231,
446994085,"CARIBBEAN, NFD",-1,,0.5183593034744263,APPROVED,4071849,Caribbean country,SNOMED,Observation,S,14,1,Location,223697002,19700101,20991231,
18909326,BARBADOS,-1,,1.0,APPROVED,4072760,Barbados,SNOMED,Observation,S,0,1,Location,223700003,19700101,20991231,
140884220,ST MARTIN (FRENCH PART),-1,,0.3009285628795624,UNCHECKED,4071997,French Guiana,SNOMED,Observation,S,0,1,Location,223853004,19700101,20991231,
18917170,ST KITTS-NEVIS (ST CHRISTOPHER),-1,,0.3768666982650757,APPROVED,4071851,St. Kitts and Nevis,SNOMED,Observation,S,0,1,Location,223708005,19700101,20991231,
18909330,BELARUS,-1,,0.37696415185928345,UNCHECKED,4320317,Belorussia,SNOMED,Observation,S,0,1,Location,223647001,19700101,20991231,
18909331,BELIZE,-1,,1.0,APPROVED,4330443,Belize,SNOMED,Observation,S,0,1,Location,223690000,19700101,20991231,
18917178,ST LUCIA,-1,,0.5216483473777771,APPROVED,4071852,St. Lucia,SNOMED,Observation,S,0,1,Location,223709002,19700101,20991231,
18916539,MOLDOVA (MOLDAVIA),-1,,0.6264378428459167,APPROVED,4320320,Moldavia,SNOMED,Observation,S,0,1,Location,223654007,19700101,20991231,
14835603,"KOREA, Democratic People's Republic (Nth",-1,,0.7996020317077637,APPROVED,4320304,Democratic people's republic of Korea,SNOMED,Observation,S,0,1,Location,223582006,19700101,20991231,
18909334,BENIN,-1,,1.0,APPROVED,4071845,Benin,SNOMED,Observation,S,0,1,Location,223553005,19700101,20991231,
18916542,MONACO (MONTE CARLO),-1,,0.421474426984787,APPROVED,4329604,Monaco,SNOMED,Observation,S,0,1,Location,223671008,19700101,20991231,
18909335,BHUTAN,-1,,1.0,APPROVED,4330327,Bhutan,SNOMED,Observation,S,0,1,Location,223599007,19700101,20991231,
32946073,"YUGOSLAVIA, FEDERAL REPUBLIC OF",-1,,0.7199063301086426,APPROVED,4075633,Yugoslavia,SNOMED,Observation,S,0,1,Location,223684004,19700101,20991231,
18916547,MONGOLIA,-1,,1.0,APPROVED,4329981,Mongolia,SNOMED,Observation,S,0,1,Location,223575007,19700101,20991231,
18917184,ST PIERRE AND MIQUELON,-1,,0.22245511412620544,UNCHECKED,4071716,Hierro,SNOMED,Observation,S,0,1,Location,223381003,19700101,20991231,
18909336,AT SEA,-1,,0.6626086831092834,APPROVED,4023216,Sea,SNOMED,Observation,S,2,1,Location,225742004,19700101,20991231,
32946399,PALESTINE,-1,,0.39420053362846375,UNCHECKED,4329605,Wales,SNOMED,Observation,S,0,1,Location,223683005,19700101,20991231,
18916552,MONTSERRAT,-1,,0.7609305381774902,APPROVED,4072013,Montserrat island,SNOMED,Observation,S,0,2,Location,223391009,19700101,20991231,
18909339,BOTSWANA,-1,,1.0,APPROVED,4072753,Botswana,SNOMED,Observation,S,0,1,Location,223547005,19700101,20991231,
18916556,MOZAMBIQUE,-1,,1.0,APPROVED,4072752,Mozambique,SNOMED,Observation,S,0,1,Location,223542004,19700101,20991231,
22654093,935,-1,,0.0,UNCHECKED,0,Unmapped,,,,0,0,,,,,
18916557,NAMIBIA,-1,,1.0,APPROVED,4071843,Namibia,SNOMED,Observation,S,0,1,Location,223545002,19700101,20991231,
18909341,BRUNEI,-1,,1.0,APPROVED,4329579,Brunei,SNOMED,Observation,S,0,1,Location,223586009,19700101,20991231,
18917187,ST VINCENT AND THE GRENADINES,-1,,0.7712928056716919,APPROVED,4075643,St. Vincent and the Grenadines,SNOMED,Observation,S,0,1,Location,223710007,19700101,20991231,
22978865,010,-1,,0.02506621554493904,UNCHECKED,4074612,Tenth floor,SNOMED,Observation,S,0,1,Location,224913007,19700101,20991231,
18916558,NAURU,-1,,1.0,APPROVED,4320312,Nauru,SNOMED,Observation,S,0,1,Location,223624002,19700101,20991231,
18917194,SURINAME,-1,,1.0,APPROVED,4075647,Suriname,SNOMED,Observation,S,0,1,Location,223722005,19700101,20991231,
